################################################################
##Data NPD2                                                    #
##2017-11-22                                          ################################################################

param KK:=5000;
param II:=70;
param TT:= 20;
param a:=3;

param F:=0.9;        # fixed costs
param U:=3;
param p:=0.95;
param R:=1;          # return level


param Max3:
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20:=
1	0.0	0.0	5.0	3.6	7.4	10.4	5.9	4.5	5.7	6.2	10.2	8.6	10.1	8.8	7.1	8.2	4.3	7.8	5.3	7.4
2	0.0	0.0	4.3	6.2	6.5	5.8	11.4	9.9	11.4	8.6	9.5	8.1	7.6	6.0	8.9	3.8	3.6	11.1	9.8	6.8
3	0.0	0.0	4.6	8.2	7.8	6.0	6.2	7.6	1.8	6.2	7.3	6.2	7.1	0.0	5.4	10.8	8.0	8.8	6.5	4.3
4	0.0	0.0	3.6	8.5	6.1	9.6	5.8	8.6	9.6	8.9	10.1	8.7	5.9	12.5	6.1	4.6	6.2	8.9	7.4	8.4
5	0.0	0.0	2.2	5.3	7.2	5.9	8.1	7.8	11.9	8.4	6.6	6.1	6.6	6.0	5.0	4.9	6.4	7.6	5.7	1.3
6	0.0	0.0	4.7	6.7	5.6	9.3	7.4	5.4	8.1	8.4	8.2	5.5	7.0	6.4	9.2	4.7	6.1	4.3	5.4	7.7
7	0.0	0.0	4.9	6.5	7.4	8.4	6.9	8.1	5.8	6.2	7.2	6.5	3.3	8.5	3.3	9.3	6.9	7.4	10.0	4.0
8	0.0	0.0	3.1	6.2	5.1	9.0	7.4	8.5	8.2	7.7	10.0	8.2	3.2	5.6	9.6	4.9	4.0	8.1	0.0	5.8
9	0.0	0.0	4.4	5.4	7.4	7.9	7.3	5.7	6.2	5.8	5.4	5.9	4.7	10.6	6.3	10.2	7.0	6.7	7.0	6.4
10	0.0	0.0	2.5	5.5	5.6	4.9	7.4	3.0	6.8	5.1	8.9	3.9	3.4	4.4	2.6	6.5	4.9	8.9	8.1	4.9
11	0.0	0.0	3.7	6.0	7.4	5.2	8.5	10.0	10.9	13.8	6.9	6.7	6.4	2.8	6.8	6.1	5.3	4.7	6.0	7.2
12	0.0	0.0	3.4	3.7	9.1	8.0	7.4	5.5	5.2	8.9	10.4	7.3	5.1	6.1	6.3	3.5	6.6	9.1	7.2	4.8
13	0.0	0.0	4.3	5.5	6.6	7.0	6.2	5.2	5.2	7.9	9.5	7.2	8.1	7.1	5.5	4.9	4.9	5.2	9.2	6.0
14	0.0	0.0	2.7	8.0	4.9	11.8	11.7	5.0	6.7	2.8	11.0	5.8	6.1	7.4	6.5	9.3	4.6	6.8	7.1	4.1
15	0.0	0.0	4.6	5.1	6.3	8.1	7.6	7.7	6.0	7.1	9.2	4.1	7.7	5.6	5.9	7.7	10.5	5.6	6.2	7.2
16	0.0	0.0	4.3	5.9	7.8	11.9	5.7	7.2	10.5	2.1	12.5	7.0	12.9	8.2	6.3	5.5	1.4	11.3	9.7	6.1
17	0.0	0.0	5.3	4.8	5.1	6.6	3.0	4.6	6.2	8.4	5.0	8.6	6.0	7.5	11.1	7.9	6.6	9.9	6.2	4.7
18	0.0	0.0	1.5	5.7	8.6	5.4	6.0	5.6	5.1	5.8	6.6	5.8	5.0	5.9	7.4	6.1	7.9	7.1	3.0	9.3
19	0.0	0.0	5.0	8.1	5.0	3.1	6.2	9.9	8.7	4.8	6.7	8.0	8.4	7.6	8.3	9.5	5.6	6.0	5.3	4.8
20	0.0	0.0	3.4	6.9	5.8	7.8	6.1	13.5	7.8	7.3	14.2	5.7	8.3	6.8	3.7	8.0	3.8	7.5	6.9	8.0
21	0.0	0.0	3.7	7.2	9.4	6.6	8.3	5.7	2.1	1.0	5.4	6.1	5.8	2.9	7.4	11.6	6.1	5.9	7.1	6.6
22	0.0	0.0	2.4	7.1	4.7	10.9	9.0	7.1	6.1	4.3	5.7	5.4	5.4	7.9	2.7	8.5	9.4	5.6	7.2	5.2
23	0.0	0.0	4.0	3.6	4.6	6.3	7.6	5.8	2.8	5.8	7.3	9.6	3.3	9.7	7.7	10.1	5.3	4.5	5.6	6.0
24	0.0	0.0	4.1	6.0	7.0	5.1	4.7	3.1	3.2	6.6	6.8	7.9	5.0	2.9	7.5	7.1	10.6	4.6	6.8	7.4
