################################################################
##Data NPD1                                                    #
##2018-09-09                                                   #
##Reduced set of scenarios                                     #        ################################################################

param KK:=5000;
param II:=70;
param TT:= 20;
param a:=3;

param F:=0.9;        # fixed costs
param U:=3;
param p:=0.95;
param R:=7;          # return level

set Reduced_scenario_set: =9,10,17,50,56,76,93,102,114,121,125,154,197,245,249,288,304,312,314,345,392,458,474,495, 565,621,655,673,690,695,730,731,784,833,837,905,1078,1095,1135,1138,1153,1166,1169,1225, 1234,1266,1281,1312,1342,1344,1345,1367,1388,1397,1400,1404,1465,1486,1527,1611,1614,1624,1627,1664,1668,1704,1731,1742,1744,1809,1857,1859,1876,1915,1925,1931,1932,1958,2033,2053,2078,2165,2175,2208,2234,2257,2258,2281,2292,2306,2319,2343,2368,2396,2405,2419,2442,2461,2501,2509,2544,2552,2602,2618,2624,2701,2717,2720,2736,2740,2797,2838,2866,2916,2930,2934,2945,2979,2981,2983,3005,3100,3127,3162,3222,3232,3277,3380,3386,3434,3463,3492,3520,3532,3568,3641,3676,3678,3679,3706,3708,3709,3737,3781,3784,3801,3813,3827,3841,3853,3867,3869,3882,3891,3927,3988,3992,4077,4078,4080,4090,4121,4124,4133,4143,4160,4185,4188,4190,4215,4223,4268,4281,4289,4306,4364,4441,4444,4469,4473,4477,4483,4508,4512,4524,4530,4568,4595,4596,4685,4841,4871,4894,4923,4927,4931,4933,4955,4974,4991;

param prob_sce:=
9	0.0102
10	0.0034
17	0.004
50	0.0036
56	0.0048
76	0.0102
93	0.005
102	0.0052
114	0.0052
121	0.0028
125	0.006
154	0.0038
197	0.0076
245	0.0068
249	0.004
288	0.0042
304	0.003
312	0.0052
314	0.0044
345	0.0048
392	0.0114
458	0.003
474	0.006
495	0.003
565	0.0026
621	0.002
655	0.0068
673	0.0058
690	0.0068
695	0.0038
730	0.0046
731	0.0052
784	0.005
833	0.004
837	0.0044
905	0.0028
1078	0.0042
1095	0.003
1135	0.002
1138	0.0028
1153	0.002
1166	0.0038
1169	0.0024
1225	0.004
1234	0.0016
1266	0.0062
1281	0.0038
1312	0.0068
1342	0.0058
1344	0.0056
1345	0.007
1367	0.0084
1388	0.0048
1397	0.004
1400	0.0044
1404	0.005
1465	0.0042
1486	0.014
1527	0.0036
1611	0.006
1614	0.0054
1624	0.0088
1627	0.0024
1664	0.004
1668	0.006
1704	0.0046
1731	0.0062
1742	0.0032
1744	0.002
1809	0.0032
1857	0.0042
1859	0.005
1876	0.0036
1915	0.0026
1925	0.0096
1931	0.014
1932	0.0024
1958	0.0026
2033	0.0014
2053	0.0038
2078	0.0034
2165	0.0058
2175	0.0058
2208	0.0042
2234	0.0138
2257	0.0174
2258	0.0062
2281	0.0104
2292	0.004
2306	0.0028
2319	0.007
2343	0.0034
2368	0.0054
2396	0.0028
2405	0.008
2419	0.0036
2442	0.0036
